timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781195819831,4938,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-8,,true,,39859,45012,13,13,null,0,30011,12
1781195820071,4851,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-12,,true,,39848,45006,12,12,null,0,30015,10
1781195820477,4564,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-11,,true,,39866,44988,11,11,null,0,30010,98
1781195821777,4013,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-9,,true,,39920,44948,10,10,null,0,30009,12
1781195824690,4330,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-10,,true,,39836,44938,9,9,null,0,30008,11
1781195826134,4931,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-14,,true,,39864,45002,8,8,null,0,30008,8
1781195831077,3690,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-13,,true,,39845,44996,7,7,null,0,30009,9
1781195835566,2938,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-17,,true,,39836,45002,6,6,null,0,30008,8
1781195836117,3781,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-15,,true,,39824,45014,5,5,null,0,30011,9
1781195841236,3293,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-16,,true,,39851,44992,4,4,null,0,30011,8
1781195843260,3215,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-20,,true,,39832,44992,3,3,null,0,30009,7
1781195845163,3051,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-18,,true,,39847,45006,2,2,null,0,30009,8
1781195846549,2837,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-19,,true,,39831,44948,1,1,null,0,30007,10
